144: U L' D2 B D' F2 L2 F' L2 R' 
145: U L' D' B2 U2 D2 B' U2 R B 
146: U L' R F D R' D2 B2 D2 B 
147: U L' F U2 D R' F2 B' U2 B 
148: U L' F U2 D B' R' F2 U2 B 
149: U L' F U' L2 D R' B' U B 
150: U L' F U' L2 D B' U R' B 
151: U L' F U' L2 D B' U B R' 
152: U L' F U' L2 D B' R' U B 
153: U L' F D R' U2 F2 B' U2 B 
154: U L' F D R' F' U2 L2 F2 L2 
155: U L' F D R' B D2 B D2 B2 
156: U L' F D B D2 B D2 B2 R' 
157: U L' F' U2 D F2 B' U2 R' B 
158: U L' F' U2 D F2 B' U2 B R' 
159: U L' F' D B D2 B L D2 B2 
160: U R F L' D R' D2 B2 D2 B 
161: U R2 F2 L2 U' F' L2 D R' B2 
162: U R2 F2 L2 F' U' L2 D R' B2 
163: U R2 F' L B2 U' F' D2 B2 L2 
164: U R2 B2 R2 D F B2 D R' B2 
165: U F U2 L D R' F2 B' U B 
166: U F U2 L D B' R' F2 U B 
167: U F D L U2 R' F' U F' L' 
168: U F D B2 R B R2 U' F B 
169: U F D B2 R B R2 F U' B 
170: U F D B' U2 R2 F R U' B 
171: U F D2 B D' R B2 R2 F B2 
172: U F D' L B2 D2 R' B' U B 
173: U F D' L B2 D2 B' U R' B 
174: U F D' L B2 D2 B' U B R' 
175: U F D' L B2 D2 B' R' U B 
176: U F L U' L2 D B' U2 R' B 
177: U F L U' L2 D B' U2 B R' 
178: U F L D R B' R2 U F B 
179: U F L D R' B' U B U2 F2 
180: U F L D B' U R2 F R B 
181: U F L D B' U B U2 R' F2 
182: U F L D B' U B R' U2 F2 
183: U F L D B' R2 U F R B 
184: U F L D' B2 D2 R' B' U B 
185: U F L D' B2 D2 B' U R' B 
186: U F L D' B2 D2 B' U B R' 
187: U F L D' B2 D2 B' R' U B 
188: U F L2 R2 F U' L2 D R B2 
189: U F L' U2 D R' F2 B' U2 B 
190: U F L' U2 D B' R' F2 U2 B 
191: U F L' U' L2 D R' B' U B 
192: U F L' U' L2 D B' U R' B 
193: U F L' U' L2 D B' U B R' 
194: U F L' U' L2 D B' R' U B 
195: U F L' D R' U2 F2 B' U2 B 
196: U F L' D R' F' U2 L2 F2 L2 
197: U F L' D R' B D2 B D2 B2 
198: U F L' D B D2 B D2 B2 R' 
199: U F B D2 B' D' B2 D2 R' B2 
200: U F B L2 U2 D R' U F' L 
201: U F B2 U R2 F' U' D2 R B2 
202: U F B2 D2 R' U' B' L2 U B2 
203: U F B2 R2 F' U' D2 L2 R B2 
204: U F2 D2 B D' L2 R F2 L2 F 
205: U F2 D2 B D' L2 F R F2 L2 
206: U F2 D2 B D' R F' L2 F' L2 
207: U F2 D' L D2 B' U R2 F B 
208: U F2 L D B' R2 U F R' B 
209: U F2 L D B' R2 U F B R' 
210: U F2 L2 R2 U' F' L2 D R' B2 
211: U F2 L2 R2 F' U' L2 D R' B2 
212: U F2 L2 F U' L2 D B2 R B2 
213: U F' D L B2 R D2 B U B 
214: U F' D' L D2 B' U B U2 F2 
215: U F' D' L B U' D2 L2 F' L2 
216: U F' D' L B2 U' D2 B' U2 B 
217: U F' L U' L2 D B' U2 R2 B 
218: U F' L U' L2 D B' U2 B R2 
219: U F' L R2 B2 U' F' D2 B2 L2 
220: U F' L B2 D B2 D B U B 
221: U F' L B2 D B' U B' D B2 
222: U F' L B2 R2 U' F' D2 B2 L2 
223: U F' L' U2 D R2 F2 B' U2 B 
224: U F' L' U2 D F' B2 R2 F' B2 
225: U F' L' U2 D B' R2 F2 U2 B 
226: U F' L' U2 F' D F' B2 R2 B2 
227: U F' L' U' F2 L2 D B' U B 
228: U F' L' D F L2 B2 D2 L2 B2 
229: U F' L' D F2 B' U2 R2 F B 
230: U F' L' D F' U2 L2 F2 L2 R2 
231: U F' L' D F' U2 B2 R2 F2 B2 
232: U F' L' D B D2 B L2 D2 B2 
233: U F' B D2 B' D' L B2 D2 B2 
234: U F' B2 U' B' D' L D2 L F' 
235: U B D F' D2 B U' L D2 L 
236: U B L' D F L B' D R' B 
237: U B L' D F L B' D B R' 
238: U B R2 F D B U' D2 R' B2 
239: U B2 U' D2 L2 R D L2 B' D' 
240: U B2 D2 L2 F R' U' F' L2 B 
241: U B2 R F B2 U2 D R' F2 B' 
242: U B2 R F B2 D R' U2 F2 B' 
243: U B2 R F2 D B2 D2 L B D' 
244: U B2 R2 D R' F B2 D R' B' 
245: U B2 R2 D F U' D L2 R' B2 
246: U B2 R2 D F B2 U' D R' B2 
247: U B2 R2 D B2 R' F D R' B' 
248: U B2 R2 F B2 U' L2 D R' B2 
249: U B2 R2 F' U' D2 L2 R B2 R 
250: U B2 R2 F' U' L R D2 L B2 
251: U B2 R2 F' U' L R2 D2 B2 L 
252: U B2 R2 F' U' R D2 L2 B2 R 
253: U B2 R' D R2 F B2 D R' B' 
254: U B' L' U2 D' B' U D2 L' R 
255: U B' L' U2 D' B' D2 R U L' 
256: U2 D L' R' U2 R' B D' L B' 
257: U2 D R2 F L' U B D' L B' 
258: U2 D R2 F2 L' B D' B L B2 
259: U2 D B U L2 D' B' R F2 L2 
260: U2 D B L' D B' U L R2 F2 
261: U2 D B L' D B' U L F2 R2 
262: U2 D B L' D B' L U R2 F2 
263: U2 D B L' D B' L U F2 R2 
264: U2 D B' R' U B' R B2 U F2 
265: U2 D2 F2 D' R2 F2 L' B D' B' 
266: U2 D' L R2 F2 U F2 L2 B D' 
267: U2 L U F' U D F' B' U' B 
268: U2 L U F' U D B' U' F' B 
269: U2 L U F' U' D F' B' U B 
270: U2 L U' F' L2 U' B2 L2 B2 D 
271: U2 L D F B' U' R2 U2 F2 B 
272: U2 L D' R2 F2 U F2 L2 B D' 
273: U2 L R2 U' R2 U2 F' L2 D B 
274: U2 L F D B' U' R2 U2 F2 B 
275: U2 L2 U F' U D F' B2 R' B2 
276: U2 L' U' B2 D' B' D2 B' D B 
277: U2 L' D B' U' B2 L2 D2 L2 B' 
278: U2 L' D2 L' B R2 U' L B D' 
279: U2 L' D2 B D' L2 F L2 U F2 
280: U2 L' D' R2 U F2 B U2 D' B2 
281: U2 L' D' R2 U2 B D' L2 U B2 
282: U2 L' D' R2 F2 B U2 D' L2 B2 
283: U2 L' D' R2 B U F2 U2 D' B2 
284: U2 L' D' R2 B U2 D' L2 U B2 
285: U2 R2 F2 L' B U' D2 B' D B' 
286: U2 R2 F2 L' B2 U' B' D' L2 B' 
287: U2 B R2 U' L F L2 D' R' B2 
288: U2 B' L B2 U F' U2 D F' L 
289: U2 B' L' D2 R2 F2 U' B D' L' 
290: U' D B' U2 F U2 R F2 U' B 
291: U' D2 R B D' F2 B2 R' B2 R2 
292: U' D2 R B D' B2 R' F2 B2 R2 
293: U' D2 R B D' B2 R' B2 R2 F2 
294: U' D2 R' B' D' F2 L R U' L' 
295: U' D2 F2 B' U2 L2 U R B2 L' 
296: U' D' L D2 R' F2 B' U R B 
297: U' D' L D2 R' F2 B' R U B 
298: U' D' L D2 B' R' F2 R2 U B 
299: U' D' B' D' F2 U L2 R U B2 
300: U' D' B' R2 D B2 D R' F2 L 
301: U' L D R' F2 B' U R2 B R' 
302: U' L D R' F2 B' U R' B R2 
303: U' L D R' F2 B' R2 U R' B 
304: U' L D R' F2 B' R2 U B R' 
305: U' L D B2 R' F2 B U R B 
306: U' L D B2 R' F2 B R U B 
307: U' L D B' R' F2 U B U' R2 
308: U' L D B' R' F2 R U R B 
309: U' L D B' R' F2 R' U R' B 
310: U' L D B' R' F2 R' U B R' 
311: U' L2 R2 D F B' U' F R B2 
312: U' L2 R2 F D B' U' F R B2 
313: U' L' D' R F2 B L U2 B2 R2 
314: U' L' D' R B U2 L' B2 R' D2 
315: U' L' D' R B U2 B2 R' D2 R2 
316: U' R2 D' B' D' F2 U' R B2 L' 
317: U' R2 F B' L2 F U' R B2 L' 
318: U' R2 B' L2 F U' F R B2 L' 
319: U' R2 B' R' U R' F2 B L2 D 
320: U' F2 U' D F2 L' B D' L B' 
321: U' F2 L B' U R D' B R' D 
322: U' B L' D L' U L2 B' D B 
323: U' B2 R' B2 U' D2 L' R2 B D' 
324: U' B2 R' B2 U' D2 L' B R2 D' 
325: U' B' U2 B2 U L' D B' D B 
326: D L R' D2 L2 D L' F D L2 
327: D L F2 U2 L' U' D R' B D' 
328: D L F2 U2 L' U' D B R' D' 
329: D L2 U F' D' L D B2 D B2 
330: D L2 U F' B2 U R2 D' L D2 
331: D L2 U F' B2 D B2 D2 L D2 
332: D L2 U F' B2 D' L U2 F2 D2 
333: D L2 U' D L2 B' U L2 R B2 
334: D L2 D L U' L B' U R B2 
335: D L2 D L2 U' B' U R U B2 
336: D L2 D F2 R' D2 F D F L2 
337: D L2 R2 D L2 B' U R B2 R 
338: D L2 R2 D B2 L2 B' U R B2 
339: D L2 F D L2 U' B' R U2 B2 
340: D L2 F2 L2 U' B' R F2 U' B 
341: D L2 F2 R' F D B L2 U B2 
342: D L2 F2 B2 R' F B' D L2 B' 
343: D L2 B2 U B2 R2 F' D' L D2 
344: D L2 B2 D L2 U' B' U R B2 
345: D L2 B2 D L2 B2 R D B' D' 
346: D L2 B2 L2 U' F2 B' U R B2 
347: D L' B U D' L U2 B' R F 
348: D L' B U D' L B' R F R' 
349: D L' B D' L U B' R F R' 
350: D L' B D' L B' U R F R' 
351: D L' B D' L2 U' L' B' R F 
352: D F B U' L2 D' B' R F2 L2 
353: D F B' U F R' F' U2 F2 B 
354: D F B' U' F2 B U2 B2 R B2 
355: D F2 U2 F2 L' R2 B D' L B' 
356: D F2 U' B2 R' F2 B U' R B 
357: D F2 L2 F2 L2 R' D' F L2 D 
358: D F2 B2 R' F' B U' R2 F2 B 
359: D F2 B2 R' F' B U' F2 R2 B 
360: D F2 B2 R' F' B U' F2 B R2 
361: D F2 B2 R' F' B U' B R2 F2 
362: D F' U2 L' U B D' L F2 B' 
363: D F' U2 L' R2 U B D' L B' 
364: D F' U2 R2 F L' B D' L B' 
365: D F' U2 F L' R2 B D' L B' 
366: D B2 R2 F2 D' F' L2 D R' B2 
367: D B' U' L B' L' R F2 B L' 
368: D B' U' L B' L' R B L' F2 
369: D B' U' L' R2 B' L R F2 B 
370: D B' U' L' R2 B' L F2 R B 
371: D B' U' R F2 B U2 B2 R B2 
372: D B' U' R2 F2 L' B' L R B 
373: D B' R U2 B L U L' R2 F2 
374: D B' R U2 B L U L' F2 R2 
375: D B' R U2 B L U R2 F2 L' 
376: D B' R U2 B L U F2 L' R2 
377: D2 L2 U D F R' B2 U F' L' 
378: D2 L2 F2 B2 U F D L2 R' B2 
379: D2 L2 F' U D2 F L D' R' B2 
380: D2 R U2 B' R2 U2 D' L U L' 
381: D2 R B' U D' L F U2 L' F2 
382: D2 R B' U D' L F U2 F2 L' 
383: D2 R B' D' F U2 L U L' F2 
384: D2 R B' D' F U2 L U F2 L' 
385: D2 R2 D' L2 F' D L2 R' U B2 
386: D2 R' U L2 U R2 B' L D' B' 
387: D2 B D' L2 R' F D L2 U B2 
388: D2 B2 L2 D' B U R2 F R' B2 
389: D2 B' U D' L F U2 L' R' F2 
390: D2 B' U D' L F U2 R' F2 L' 
391: D2 B' D2 R' F U' L' R D F2 
392: D2 B' D2 R' F L' U' L' R D 
393: D' L2 R2 F' B2 D' F L R2 D2 
394: D' L2 R' D F B2 U D F' L' 
395: D' L' D L R' F L2 U' R D 
396: D' L' R U2 R' B2 D' R B' D' 
397: D' L' R' F L' D B2 L' U B 
398: D' L' B2 D' L' R U L B' D' 
399: D' L' B2 D' R B' L' U L D' 
400: D' R B L' U2 D F2 L' D L2 
401: D' R2 U L' B2 R' D' F2 B' D' 
402: D' R' U L2 B2 L D F D L2 
403: D' F2 U' D' F2 B' U' R B2 L' 
404: D' F2 U' B' D' F2 U' R B2 L' 
405: D' F2 R' F' B' U' F2 R2 B' L' 
406: D' F2 B2 U' B' R2 D R' F2 L 
407: D' F2 B2 D L2 R' F R2 D B' 
408: D' F2 B2 D R' F L2 R2 D B' 
409: D' B D R' F U' L R D F2 
410: D' B' U D2 L F U2 L' R' F2 
411: D' B' U D2 L F U2 R' F2 L' 
412: D' B' U R F' L F B2 R' D2 
413: D' B' U' F' L' U2 F D2 R' F 
414: D' B' D R' F U' L' R D F2 
415: D' B' D R' F L' U' L' R D 
416: L U2 R2 B D L F' B' R2 D 
417: L U2 B R2 D L R2 F' B' D 
418: L U2 B2 L U F' B2 U2 D L2 
419: L U' L D' B' D2 L2 R F' L2 
420: L D2 F' U F' B R' F2 D' R' 
421: L R2 U L' R F' L2 F2 D B 
422: L R2 U L' F' L2 R F D B 
423: L R2 U F' D' F' L B D2 R' 
424: L R' U' L' F' L2 F2 U R D 
425: L R' F U2 B U' L' B' D B2 
426: L F D B' U F B U2 R' F 
427: L F2 U' D B' R U F2 U B 
428: L F2 U' D2 R' D' B' U2 R B 
429: L B U2 R2 D L R2 F' B' D 
430: L B L2 U L' F' B' D' L D2 
431: L B2 U L D F U2 R' F' L2 
432: L B2 U2 L2 U' L' U2 F' D L2 
433: L B2 L U F' B2 D' L R2 D2 
434: L B' D' L2 B2 D' R F' B' D' 
435: L B' D' L2 B2 D' F' R B' D' 
436: L B' R' F U2 B U' L' D B 
437: L2 U D F U2 L U' L' R' F' 
438: L2 U D F U2 B' R' U' F' B 
439: L2 U D F U2 B' R' F' U' B 
440: L2 U D F U' L U2 L' R' F' 
441: L2 U D F U' L2 R' F2 L2 F' 
442: L2 U D F U' R' F' B' U2 B 
443: L2 U D F U' B2 R F' B2 R2 
444: L2 U D F U' B2 R B2 R2 F' 
445: L2 U D F U' B' R' F' U2 B 
446: L2 U D F R' U2 L U' L' F' 
447: L2 U D F R' U2 F' L U' L' 
448: L2 U D F R' U' L U2 L' F' 
449: L2 U D F B' U' R' F' U2 B 
450: L2 U D F2 L F' U R' F' L' 
451: L2 U D F2 L F' R' U F' L' 
452: L2 U R2 D F U' R F' B2 R2 
453: L2 U R2 D F U' R B2 R2 F' 
454: L2 U2 D L' B' U R2 B2 L B' 
455: L2 U2 D L' B' U R2 B' L B2 
456: L2 U2 D L' B' U B2 L B' R2 
457: L2 U2 D L' B' U B' L B2 R2 
458: L2 U2 D F' L' B D' B' L F 
459: L2 U2 L' U D2 F2 B R' F2 D' 
460: L2 U2 F L U R2 F' L' R2 D 
461: L2 U' D L' B' U R B2 L B' 
462: L2 U' D L' B' U R B' L B2 
463: L2 U' D L' B' R U B2 L B' 
464: L2 U' D L' B' R U B' L B2 
465: L2 U' D F2 B' R U' B U F2 
466: L2 U' D F2 B' R F U' F B 
467: L2 U' D F2 B' R F' U' F' B 
468: L2 U' D B' L' U2 L U' R B 
469: L2 U' D B' L' U' L U2 R B 
470: L2 U' D B' L' R U2 L U' B 
471: L2 U' D B' L' R U' L U2 B 
472: L2 U' R2 D F B' U' R F' B2 
473: L2 D L2 R D B' D' L' U' L' 
474: L2 D L' U' L R' B' R U2 B 
475: L2 D L' U' L B' U R U B 
476: L2 D L' U' L B' U2 R2 B R' 
477: L2 D L' U' L B' U2 R' B R2 
478: L2 D L' U' L' F' L2 U2 F R' 
479: L2 D L' U' B L B2 U2 R2 B 
480: L2 D L' U' B L B2 U2 B R2 
481: L2 D L' U' B2 L B U2 R B 
482: L2 D L' U' B' U2 R B2 L B' 
483: L2 D L' U' B' U2 R B' L B2 
484: L2 D L' B U' L B2 U2 B R 
485: L2 D L' B' U B2 U2 L B' R 
486: L2 D L' B' U B2 L U2 B' R 
487: L2 D R F' L' B' D' B L F 
488: L2 D F U2 L F U' L' R2 F' 
489: L2 D F U2 L F U' L' F' R2 
490: L2 D F U2 F2 L F U' L' R2 
491: L2 D F U' L U2 L' F R' F2 
492: L2 D F U' L U2 F L' R' F' 
493: L2 D F U' L U2 F2 L' F' R' 
494: L2 D F U' R' F' B' U2 R B 
495: L2 D F U' B2 R F' B R B 
496: L2 D F U' B2 R B R F' B 
497: L2 D F U' B' R' B' R2 F' B2 
498: L2 D F R' U2 F' L U' L' R2 
499: L2 D F B U' B R F' B2 R 
500: L2 D F B U' B R B2 R F' 
501: L2 D F B' U2 F' U B' R B2 
502: L2 D F2 L F' U F L' R' F2 
503: L2 D F2 L F' U F R' F2 L' 
504: L2 D F2 L F' U F' L' U2 R2 
505: L2 D F2 L2 R' D' F D L2 F 
506: L2 D F2 B' R U' B U R2 F2 
507: L2 D F2 B' R U' B U F2 R2 
508: L2 D F2 B' R F2 U' B U R2 
509: L2 D F' U L F2 U F' L' R' 
510: L2 D F' U2 L' B D' B' L F 
511: L2 D F' U' F' B' R F2 U' B 
512: L2 D F' L U F2 U F' L' R' 
513: L2 D F' L F2 U F L' R' F2 
514: L2 D F' L F2 U F R' F2 L' 
515: L2 D F' L F2 U F' L' U2 R2 
516: L2 D F' L2 U B2 D F R' B2 
517: L2 D F' L2 D L2 U F R' B2 
518: L2 D B U' L2 B' L' U' L' R 
519: L2 D B L' U' L B2 U2 B R 
520: L2 D B2 U F U' R F' B2 R2 
521: L2 D B2 U F U' R B2 R2 F' 
522: L2 D B2 U' L2 B' L2 U R B2 
523: L2 D B' U F U' R' F' U2 B 
524: L2 D B' L' U' B L U2 R2 B 
525: L2 D B' L' U' B L U2 B R2 
526: L2 D B' L' U' B2 L U2 B R 
527: L2 D B' L' U' B' L U2 R B 
528: L2 D2 F2 R U B' R' F' D' L2 
529: L2 D' L' U' B' D2 L2 R F' L2 
530: L2 R2 U' D F2 B R F2 U' B 
531: L2 R2 D L' U B L U2 R B2 
532: L2 R2 D L' U' L B U2 R B 
533: L2 R2 D F U' R F' B R B 
534: L2 R2 D F U' R B R F' B 
535: L2 R2 D F B U2 F' U R B2 
536: L2 R2 D F B' U' R F' B2 R 
537: L2 R2 D F B' U' R B2 R F' 
538: L2 R2 F D L2 B L2 U' R B2 
