139: U' B' U' D' B R2 F B2 L' D 
140: U' B' U' D' B R2 B2 L' F D 
141: U' B' U' R D R B' D L' F' 
142: U' B' U' B D2 R2 B2 L' D R2 
143: U' B' U' B R D R B2 L' D 
144: U' B' U' B R2 B2 L' F2 D R' 
145: U' B' D' R' F' D' L2 U' B L' 
146: U' B' D' R' F' L2 U' D' B L' 
147: U' B' L2 U' B R2 F2 B2 L' D 
148: U' B' L2 U' B R2 B2 L' F2 D 
149: U' B' R' F' D2 L2 U' F2 B L' 
150: U' B' R' F' D2 L2 U' B L' F2 
151: D L' U D' L' R' F2 B' D' R' 
152: D L' U B2 R U D F L2 F 
153: D L' B' R2 B' R D' R' B' D2 
154: D R' U' B D R F2 L R2 D2 
155: D R' U' B' R U' R2 B2 L' D 
156: D R' D2 F U2 B R2 F D L 
157: D R' D2 F L2 F' U' D' F2 L 
158: D R' F' L2 R2 F' B' R2 D' L 
159: D R' B U' D R F2 L R2 D2 
160: D R' B L2 F2 U D L2 D2 L' 
161: D F2 R' D2 B L F2 R' D L 
162: D F2 B' L R' F2 R' B2 D L 
163: D B U2 F2 L' R2 F2 L2 D L 
164: D B D2 R B2 L2 B2 R2 D' L 
165: D B L U2 R2 D2 L R D' L 
166: D B L2 R' F2 U D L2 D2 L' 
167: D B R D2 B2 L2 B2 R2 D' L 
168: D B R' U' D R F2 L R2 D2 
169: D B' U L2 D2 R' F2 U' L2 D' 
170: D B' U' R2 U2 D2 F2 R D' B2 
171: D B' U' R2 B2 U2 L' R D B2 
172: D B' D2 L' U' L' R' U2 F2 D' 
173: D B' L D2 L R' U2 F2 D' L 
174: D B' L' U' D2 L' R' U2 F2 D' 
175: D B' R U D L2 F2 B2 U2 L' 
176: D2 L U L R B R2 F2 D' R 
177: D2 L U L B R2 F2 R D' R 
178: D2 L' U D L R' F L2 F D' 
179: D2 L' U2 B' R' D' L2 U R B' 
180: D2 L' U' D L' R' F U' D' L2 
181: D2 R' F' L2 F2 U2 F D' L R 
182: D2 F U2 L2 U' F' D R' D' B2 
183: D2 F U2 L2 F' U' D R' D' B2 
184: D2 F L F U2 L' U' F2 L' B 
185: D2 F2 U2 B' L R2 B2 D L R2 
186: D2 F2 R2 B U' F2 D' R' B2 D' 
187: D2 F2 R2 B D L F2 R' D R' 
188: D2 F' U' L U2 B2 L U F' L2 
