136: R F B R2 U2 F2 U L2 D B' 
137: R F B R2 D2 B2 D B2 D2 B' 
138: R F B R2 F U2 F2 D F B' 
139: R F B R2 F' U2 F2 D F' B' 
140: R F B R2 B' D B' U2 F2 D' 
141: R F B' D2 B2 R2 U2 D F2 B' 
142: R F B' D2 B2 R2 U' L2 D B' 
143: R F2 U D2 F' D B' U' D' L2 
144: R F2 U D' F B' D' F2 U' L2 
145: R F2 U' D2 F' D B' D2 B2 D 
146: R F2 U' D' F B' D2 B2 D F2 
147: R F2 U' D' F2 B' D2 B2 D F 
148: R F2 U' D' B' D' F' D' B2 D 
149: R F2 D2 R2 F U B L2 D B' 
150: R F2 D2 R2 F B U L2 D B' 
151: R F2 D2 F R2 F B D F B' 
152: R F2 D2 F' U' D B' D2 B2 D 
153: R F2 D2 F' R2 F B D F' B' 
154: R F2 D2 B' U D' F' B U2 L2 
155: R F2 D' F2 U' B' D2 B2 D F 
156: R F2 D' F' D' R2 F B D B' 
157: R F2 D' B U D' R2 F' U2 L2 
158: R F2 D' B' U F D' F2 U2 L2 
159: R F2 D' B' U' D' L2 D2 B D2 
160: R F2 D' B' D2 B U' B D F' 
161: R F2 D' B' R2 F2 D' F U' L2 
162: R F2 L2 U' D' F' B' D B2 D2 
163: R F2 L2 U' R B D' F' D' R' 
164: R F2 L2 U' B D' F' U D' R2 
165: R F2 L2 F' B' R2 D B2 D2 B 
166: R F2 R2 D' B2 D2 F B' D F2 
167: R F2 B U D F R2 F2 U' B2 
168: R F' U2 L2 B2 D' F' B D' B2 
169: R F' U' R2 D2 F B U' R2 D 
170: R F' U' R2 D2 F B D' F2 D2 
171: R B U F' D2 B2 L2 D' R2 F2 
172: R B U F' D2 B2 L2 D' F2 R2 
173: R B2 U F2 R2 F B L2 D' F2 
174: R B2 U F' B' D2 B2 L2 D' F2 
175: R B2 U' B U D F2 R2 D2 F' 
176: R B2 U' B U2 L2 U D' L2 F 
177: R B2 U' B2 U2 L2 F' B' D' F2 
178: R B2 U' B2 R2 F B D' B2 D2 
179: R B' U' D' B2 L2 F B U' B2 
180: R B' R2 U D B' R2 U' F2 D2 
181: R2 F2 R D B D' B2 D F D 
182: R2 F' R F' D F2 B D' B2 D2 
183: R2 B L2 R U' L' F R2 D F 
184: R' U D L2 R F' R B' D' F 
185: R' U D L2 R2 F' U' B' R2 D' 
186: R' U D L2 R2 F' B' U' R2 D' 
187: R' U D L2 R' F' R' B' D' F 
188: R' U D L2 F' U2 B2 D B D2 
189: R' U D L2 F' B U2 B2 D' F2 
190: R' U D L2 F' B' D2 F2 D F2 
191: R' U D R2 F L2 F' B' D' F 
192: R' U D R2 F' L2 F' B' D' F' 
193: R' U D F L2 F' R2 B' D' F 
194: R' U D F2 L2 F' B D B2 D2 
195: R' U D2 R2 D' L2 F' B' D' F2 
196: R' U F2 D L2 F' B D B2 D2 
197: R' U B2 R2 B' U F R2 D' B2 
198: R' U2 D R2 U' L2 F' B' D' F2 
199: R' U2 D B2 D' F B' D' B2 D2 
200: R' U2 F D B2 D2 B U R2 D2 
201: R' U2 F D B2 D' B' D' B2 D2 
